COICOP,Komoditas,B41K9
01111001,"Beras (lokal, medium, premium, impor) ",0
01111003,Beras ketan ,0
01111006,Jagung basah dengan kulit ,0
01111005/2,Jagung pipilan/beras jagung/jagung titi ,0
01115005,Tepung terigu ,0
0111,Padi-padian lainnya ,0
01178001,Ketela pohon/singkong ,0
01178002,Ketela rambat/ubi jalar ,0
01115007,Sagu (bukan dari ketela pohon) ,0
01178004,Talas/keladi ,0
01177001,Kentang ,0
01178001,Gaplek ,0
01178,Umbi-umbian lainnya ,0
01131017,Ekor kuning ,0
01131069,Tongkol ,0
01131072,Tuna ,0
01131013,"Cakalang, dencis ",0
01131065,Tenggiri ,0
01131057,Selar ,0
01131028,"Kembung, lema/tatare, banyar/banyara ",0
01131067,Teri basah ,0
01131003,Bandeng ,0
01131018,Gabus ,0
01131045,Mujair ,0
01131041,Mas ,0
01131046,Nila ,0
01131035,Lele ,0
01131023/24,Kakap ,0
01131004,Baronang ,0
01131051,Patin ,0
01131006,Bawal ,0
01131020,Gurame ,0
01131,Ikan segar/basah lainnya ,0
01132004,"Udang, lobster ",0
01132001/6,"Cumi-cumi, sotong, gurita ",0
01132007/2/8,"Ketam, kepiting, rajungan ",0
01132003/10/12,"Kerang, siput, bekicot, remis ",0
01132,Udang/hewan air segar lainnya ,0
01133021/26/37,Kembung diawetkan/peda ,0
01133031,Tenggiri diawetkan ,0
01133033/34/08,"Tongkol, tuna, cakalang, dencis, ikan kayu diawetkan ",0
01133032,Teri diawetkan ,0
01133029,Selar diawetkan ,0
01133036,Sepat diawetkan ,0
01133002/3/4,Bandeng diawetkan ,0
01133011,Gabus diawetkan ,0
01134001,"Ikan dalam kaleng (sardencis, tuna, dsb.) ",0
01133,Ikan diawetkan lainnya ,0
01133035,"Udang diawetkan (ebi, rebon) ",0
01133009,"Cumi-cumi, sotong, gurita diawetkan ",0
01133,Udang/hewan air diawetkan lainnya ,0
01121001,Daging sapi ,0
01123001,"Daging kambing, domba/biri-biri ",0
01122001,Daging babi ,0
01124003,Daging ayam ras ,0
01124002,Daging ayam kampung ,0
01121/22/23/24,Daging segar lainnya ,0
01125,"Daging diawetkan (sosis, abon, nugget, dll) ",0
01121005,"Tetelan, sandung lamur ",0
01127,"Lainnya (hati, jeroan, iga, kaki, buntut, kepala, dsb.) ",0
01147002,Telur ayam ras ,0
01147001,Telur ayam kampung ,0
01147003,Telur itik/telur itik manila ,0
01147005/...,"Telur lainnya (puyuh, asin, penyu, angsa, dsb.) ",0
01143003/05,Susu cair pabrik / Susu kental manis ,0
01143001/2,Susu bubuk ,0
01143007,Susu bubuk bayi ,0
01141/45/46,Susu lainnya dan hasil lain dari susu ,0
01171012,Bayam ,0
01171014,Kangkung ,0
01172001/2/3,Kol/kubis ,0
01171016,Sawi putih (petsai) ,0
01171015,Sawi hijau ,0
01173003,Buncis ,0
01173008,Kacang panjang ,0
01173005,"Tomat sayur, tomat ceri ",0
01174001,Wortel ,0
01173004,Mentimun ,0
01171010,Daun ketela pohon/daun singkong ,0
01173023/26,Terong ,0
01171017,Tauge ,0
01173014/15,"Labu, labu siam, labu parang ",0
01171026,Bahan sayur sop/cap cay/kimlo (paket) ,0
01171024/25,Bahan sayur asam/lodeh (paket) ,0
01173017,Nangka muda ,0
01173020,Pepaya muda ,0
01173022,Jengkol ,0
01174006,Bawang merah ,0
01174007,Bawang putih ,0
01174005,Bawang bombay ,0
01173012,Cabai merah ,0
01173016,Cabai hijau ,0
01173013,Cabai rawit ,0
01171/72/73/74/76,Sayur-sayuran lainnya ,0
01168010,Kacang tanah tanpa kulit ,0
01168004,Kacang kedelai ,0
01168,Kacang lainnya ,0
01194011,Tahu ,0
01194013,Tempe ,0
01194010,Oncom ,0
01194,Hasil lain dari kacang-kacangan ,0
01161001-33,"Jeruk, jeruk bali ",0
01167002-14,Mangga ,0
01163001-9,Apel ,0
01167040-49,Rambutan ,0
01167050/098,"Duku, langsat ",0
01167059-85,Durian ,0
01165008-11,Salak ,0
01162001,Pisang ambon ,0
01162002-14,Pisang lainnya ,0
01167022-27,Pepaya ,0
01167028-32,Semangka ,0
01173002,Tomat buah ,0
01165004-6,Alpukat ,0
01167053,Jambu biji ,0
01154003,Minyak kelapa ,0
01154001/4,"Minyak goreng (kelapa sawit, bunga matahari) ",0
01167033,Kelapa (tidak termasuk santan instan) ,0
01151/52/53/54,Minyak dan kelapa lainnya ,0
01181001,Gula pasir ,0
01181002,"Gula merah, gula air (aren, kelapa, lontar) ",0
01167033,Teh bubuk ,0
01151/52/53/54,Teh celup (sachet) ,0
01211001,"Kopi (bubuk, biji) ",0
01211002,Kopi instan (sachet) ,0
01222/3,Bahan minuman lainnya ,0
01192001,Garam ,0
01192005,Kemiri ,0
01192006,Ketumbar/jinten ,0
01192007,Merica/lada ,0
01192003,Jahe ,0
01192000,Kunyit ,0
01173024,Asam ,0
01194003/4,Terasi/petis ,0
01191003,Kecap ,0
01194008,Penyedap masakan/vetsin ,0
01191005,Sambal jadi ,0
01191006-7,Saus tomat ,0
01194007,"Bumbu masak jadi/kemasan, bumbu racikan ",0
01192003/4,"Bumbu dapur lainnya (kencur, pala, kapulaga, dsb.) ",0
01115012,Mie instan ,0
01115018/19,Kerupuk ,0
01115013,Bubur bayi kemasan ,0
01112/15/76/94,Bahan makanan lainnya ,0
01112005,Roti tawar ,0
01112003,"Roti manis, roti lainnya ",0
11111025/044,"Kue kering, biskuit, semprong ",0
11111024/103/123,"Kue basah (lapis, bika ambon, lemper, dsb.) ",0
11111133/83-89,"Makanan gorengan (tahu, tempe, bakwan, pisang) ",0
11111011,Bubur kacang hijau ,0
11111015,"Gado-gado, ketoprak, pecel ",0
11113170,Nasi campur/rames ,0
11113169,Nasi goreng ,0
11111030,Nasi putih ,0
11111023,Lontong/ketupat sayur ,0
11120006/017...,"Soto, gule, sop, rawon, cincang ",0
11111178-180,"Sayur matang (ditumis, disantan, dsb.) ",0
11111040,"Sate, tongseng ",0
11111047,"Mie bakso, mie rebus, mie goreng ",0
11111029,Mie instan (porsi) ,0
11111027,"Makanan ringan anak-anak, krupuk/kripik ",0
11111019,Ikan matang ,0
11111007/8/3034,"Ayam/bebek/daging matang (goreng, rendang, dsb.) ",0
11111004/1208,"Daging olahan (sosis, nugget, daging asap) matang ",0
11113008,Bubur ayam ,0
11113003,"Siomay, batagor ",0
11111058,Air kemasan ,0
01221000,Air kemasan galon ,0
11111055/059,"Air teh kemasan, minuman soda ",0
01223-01225,"Sari buah kemasan, minuman kesehatan/energi ",0
11111052-57,"Minuman jadi (kopi, teh, susu coklat, dsb.) ",0
11111049,Es krim ,0
11111051,Es lainnya ,0
02110000,Minuman keras ,0
02201001,Rokok kretek filter ,0
02201002,Rokok kretek tanpa filter ,0
02201003,Rokok putih ,0
02202000,Tembakau ,0
